player	age	yds_per_drive	dr_accuracy	dr_totl	greens_in_reg	putt_avg	save_pct	events	rounds	cuts	top10	earn	log_earn
Camilo Villegas	36	288.7	54.4	124	61.9	1.743	47.0	25	72	12	2	971420.10	5.9874071
William McGirt	38	285.2	70.0	149	67.2	1.797	46.8	28	84	16	3	1225005.4	6.0881380
Bud Cauley	27	295.9	60.1	72	67.4	1.771	46.8	28	88	17	5	1553685	6.1913630
Alex Cejka	47	282.1	67.2	164	65.6	1.808	46.6	28	78	14	1	618170.56	5.7911083
Luke List	33	311.5	55.6	4	69.1	1.780	46.4	31	98	19	3	1813219.1	6.2584503
Brian Stuard	35	272.6	71.3	189	63.3	1.771	46.4	31	87	15	0	588805.94	5.7699722
Bubba Watson	39	305.8	59.5	20	62.9	1.791	46.3	22	63	13	4	1223128.6	6.0874721
Russell Henley	28	298.0	63.7	54	67.8	1.754	46.1	27	98	22	5	3413876	6.5332477
Bryson DeChambeau	24	299.4	58.3	45	65.5	1.785	46.0	31	90	14	2	1817053.6	6.2593677
Jonathan Randolph	--	287.7	64.2	132	62.9	1.780	45.9	22	63	12	1	511032.28	5.7084483
Jhonattan Vegas	33	301.3	57.7	33	65.9	1.805	45.7	29	91	19	4	2944737.5	6.4690466
Shawn Stefani	36	294.0	60.5	84	66.5	1.793	45.7	26	70	10	1	404376.72	5.6067861
Kevin Tway	29	309.2	52.5	10	64.7	1.766	45.7	27	88	19	3	1472612.9	6.1680886
Robert Streb	30	294.3	57.6	81	65.2	1.772	45.7	30	94	18	3	1588286.9	6.2009290
Jim Furyk	47	271.4	72.1	190	66.1	1.794	45.6	18	51	9	1	558097.25	5.7467099
Steve Wheatcroft	39	280.5	68.2	169	61.0	1.781	45.5	17	47	8	1	309517.90	5.4906858
Chris Stroud	36	286.8	65.7	141	66.2	1.754	45.5	22	59	9	2	1308445.1	6.1167555
Miguel Angel Carballo	38	288.1	63.6	128	64.9	1.802	45.5	N/A	N/A	N/A	N/A	N/A	N/A
J.J. Spaun	--	291.5	65.1	107	67.1	1.784	45.5	29	88	17	3	1122610.8	6.0502292
Billy Horschel	31	300.1	60.1	43	67.9	1.807	44.9	28	87	16	4	2697959.8	6.4310355
Richy Werenski	--	291.2	65.9	109	67.4	1.786	44.7	26	74	14	2	890262.06	5.9495179
Boo Weekley	44	289.9	71.7	116	68.6	1.830	44.6	27	75	11	1	416928.90	5.6200620
Brett Stegmaier	--	288.7	64.7	124	66.7	1.797	44.6	N/A	N/A	N/A	N/A	N/A	N/A
Derek Fathauer	32	286.5	55.5	142	62.8	1.757	44.4	27	76	13	1	898491.25	5.9535139
Dustin Johnson	33	315.0	57.0	2	69.5	1.755	44.3	20	70	17	8	8732193	6.9411233
Scott Stallings	32	297.6	57.0	57	67.9	1.792	44.3	27	78	14	3	955336.60	5.9801564
Ryan Palmer	41	303.2	57.8	27	66.5	1.847	43.6	20	53	8	2	772560.30	5.8879324
Billy Hurley III	35	276.9	60.6	183	63.6	1.772	43.5	25	80	15	1	719579.25	5.8570786
Brendan Steele	34	300.4	62.9	40	67.3	1.785	43.3	25	85	20	4	2907095.3	6.4634593
Dominic Bozzelli	--	294.4	56.6	80	62.0	1.783	43.2	24	65	9	3	868519	5.9387793
Daniel Berger	24	296.9	60.0	62	66.7	1.755	43.2	26	87	20	5	4287161	6.6321698
J.B. Holmes	35	307.5	51.3	14	62.6	1.766	42.9	23	76	18	2	1353584.3	6.1314853
Julian Etulain	--	293.5	63.3	89	66.8	1.785	42.9	22	63	12	1	448213.97	5.6514854
Kevin Chappell	31	305.0	58.8	23	65.2	1.779	42.8	27	91	21	5	3149615	6.4982575
Kelly Kraft	29	291.9	60.1	101	63.1	1.781	42.7	27	72	11	3	1638045	6.2143258
Jason Dufner	40	294.6	63.8	78	67.2	1.764	42.1	24	82	20	2	3310341	6.5198727
JT Poston	--	295.5	59.4	77	65.5	1.747	42.0	28	87	17	1	662565.25	5.8212287
Matt Every	34	297.7	48.4	56	60.2	1.751	41.3	30	71	7	0	351411.50	5.5458160
J.J. Henry	42	294.1	62.6	83	69.4	1.822	40.3	29	86	16	2	734874	5.8662129
Graham DeLaet	36	301.1	63.7	34	68.6	1.781	40.0	25	76	15	6	1603666.4	6.2051140
Patrick Rodgers	--	306.3	52.9	18	65.8	1.822	39.8	27	75	11	3	1346322.3	6.1291490
Andrew Loupe	29	311.3	45.9	6	59.8	1.802	39.8	N/A	N/A	N/A	N/A	N/A	N/A
Jason Bohn	44	275.9	63.7	185	63.1	1.814	39.6	N/A	N/A	N/A	N/A	N/A	N/A
Paul Casey	40	297.5	64.1	58	70.1	1.763	39.2	24	90	23	9	3906973.5	6.5918405
Stewart Cink	44	296.7	55.1	65	68.8	1.764	38.4	26	93	20	3	1463922.4	6.1655181
Scott Piercy	39	295.9	59.7	72	66.7	1.771	38.0	22	67	14	4	1317452.3	6.1197349
Russell Knox	32	288.6	67.6	126	66.6	1.785	37.9	24	71	14	4	1643924.3	6.2158818
Jim Herman	40	292.5	69.0	96	68.1	1.792	37.6	25	76	13	2	1205632.4	6.0812149
Ryan Armour	41	278.8	72.7	176	70.0	1.799	37.3	20	59	10	1	443005.90	5.6464095
Jason Kokrak	32	306.4	59.3	17	66.8	1.806	36.8	28	95	20	1	1173708.5	6.0695602
